ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
50235902;1058071-505-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058071-505-SE24;MELATONINA	3	mg			Cápsula;"PLAN DE COMPRAS TRAER ORDEN DE COMPRA despacho previa coordinación con bodega
carla.cabello@redsalud.gob.cl 226120482
ashley.sotomayor@redsalud.gob.cl 226120526
RECEPCION A PROVEEDORES LUNES A JUEVES   08:00 AM   - 14:00 PM. VIERNES      
08:00 AM    - 13:00 PM.
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-04-12;2024-05-06;2024-05-06;2024-05-06;2024-05-06;;1;3,27027027027027;37;87465;CLP;87465;13965;IVA;0;0;73500;1058071;61.980.320-5;Fármarcos;1379869;HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA;Salud;Servicio Público;Maipú;Región Metropolitana de Santiago;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;2.0;1058071-12-LE24;;134773803;73101700.0;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción farmacéutica;73101701;Servicios de producción de medicamentos o medicinas;Servicios de producción y fabricación industrial;Industrias de plásticos y productos químicos;Producción farmacéutica;5560023	100004066 MELATONINA	3	mg			Cápsula;MLTN0003COMP. MELATONINA 3MG X 30 CAP.. MDC HEALTH SPA.. MELATONINA. REG ISP F-25890. VCTO 05-2025. LOTE MA3F016 -- 7804673040058, Entrega  24 horas CONTADAS DESDE LA FECHA DE ENVIO DE  LA OC . Se adjunta CANJE . Sin costo por flete. sin monto mínimo de f;2100;Cápsula;CLP;35;0;0;0.0;73500;30 dias contra la recepcion conforme de la factura
50347511;4520-95-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4520-95-AG24;Orden de Compra generada por invitación a compra ágil: 4520-152-COT24;Orden de Compra codigo: 4520-95-AG24 dirigida a LABORATORIO HOSPIFARMA CHILE LIMITADA;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2024-04-26;2024-05-08;2024-05-08;2024-05-08;2024-05-09;;1;0;0;169575;CLP;169575;27075;IVA;0;0;142500;5436;69.266.400-0;Depto. de Salud;145365;I MUNICIPALIDAD DE TREHUACO;Municipalidades;;Trehuaco;Región del Ñuble;Extranjero;651991;76.133.312-7;HOSPIFARMA;1254490;LABORATORIO HOSPIFARMA CHILE LIMITADA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COSMETICOS, JABONES Y P| VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS;Quilicura;Región Metropolitana de Santiago;;PRESUPUESTO SALUD 2024;19;Extranjero;7;2.0;;;135098791;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903;Cajas de medicamentos de servicios médicos de urgencia;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;150 CAJAS DE MELATONINA 3MG;;150;Caja;CLP;950;0;0;;142500;30 dias contra la recepcion conforme de la factura
50372762;1058087-361-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058087-361-AG24;JTR/PROGRAMA FARMACIA/MAYO 2024;"OBS: DESPACHO A LA BREVEDAD
Proveedores: A contar desde el 13 de marzo será obligatorio incluir información que permita la trazabilidad de insumos médicos, que incluye nombre, lote y fecha de vencimiento, indicar si corresponde a dispositivo medico según la norma de ISP.
Horario de Bodega lunes a jueves 09:00 a 15:00 horas, viernes 09:00 a 14:00 horas, adjuntar la Factura copia de orden de compra estado aceptada e incluir en Factura el número de ésta. Teléfono: 225756290 Bodega Central.
";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2024-05-02;2024-05-03;2024-05-02;2024-05-02;2024-05-08;;1;0;0;369637,8;CLP;369637,8;59017,8;IVA;0;0;310620;1058087;61.608.408-9;Fármarcos;6918;SERVICIO DE SALUD ORIENTE HOSPITAL LUIS CALVO MACKENNA;Salud;HOSPITAL ;Providencia;Región Metropolitana de Santiago;Extranjero;1164437;76.224.462-4;COMERCIAL GAVA LIMITADA;1753430;COMERCIAL GAVA LIMITADA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Estación Central;Región Metropolitana de Santiago;;6555;19;Extranjero;7;2.0;;;135176612;73101700.0;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción farmacéutica;73101701;Servicios de producción de medicamentos o medicinas;Servicios de producción y fabricación industrial;Industrias de plásticos y productos químicos;Producción farmacéutica;"119-0054	MELATONINA CPS 3MG                                                    
";"119-0054	MELATONINA CPS 3MG                                                    
";10020;Comprimido;CLP;31;0;0;;310620;30 dias contra la recepcion conforme de la factura
50373133;1058090-679-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058090-679-AG24;MELATONINA 2 MG LP CM;"IMPORTANTE.
Despachar en Gran Avenida José Miguel Carrera N°3300. HORARIO desde las 8:00 hasta las 15:00 HRS.
Toda Factura debe venir con dos copias de orden de compra 

Se requiere que, en la Factura y guía de despacho de los productos, se indique:
NUMERO DE LOTE, FECHA DE VENCIMIENTO Y NUMERO DE ORDEN DE COMPRA
VENCIMIENTO NO INFERIOR A 1 AÑO, SI ES ASI, TRAER CARTA DE CANJE. 
AVISAR ANTE CUALQUIER DIFICULTAD DE ENTREGA
";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2024-05-02;2024-05-02;2024-05-02;2024-05-02;2024-05-02;;1;0;0;283101;CLP;283101;45201;IVA;0;0;237900;1058090;61.608.102-0;Fármarcos;7305;SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL;Salud;Servicio Público;San Miguel;Región Metropolitana de Santiago;Extranjero;668273;76.091.301-4;LABORATORIOS BIOPAS S.A.;1270266;LABORATORIOS BIOPAS S.A.;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.;Las Condes;Región Metropolitana de Santiago;;;19;Extranjero;7;2.0;;;135177568;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;2140466 MELATONINA 2 MG LP CM;2140466 MELATONINA 2 MG LP CM;300;Comprimido;CLP;793;0;0;;237900;30 dias contra la recepcion conforme de la factura
50378278;1058044-708-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058044-708-SE24;Fármacos Stock Mayo 2024;"La Recepción de Mercaderia se realizará SÓLO CONTRA GUÍA DE DESPACHO en conformidad a Ley de Pago Oportuno N°21.131 en Bodega de Farmacia, ubicada en Av. Videla S/N° de Lunes a Viernes de las 08:30 a las 13:00. Posterior a Recepción Conforme en Portal de Mercado Público
Facturar y enviar dcto. Electrónico: facturas.hspcoquimbo@redsalud.gov.cl  
O/C IBM Nº 22404923
VCTO. SUPERIOR A 1 AÑO


Mª CECILIA FERNÁNDEZ PIZARRO       QF. CRISTIAN GONZALEZ HINOSTROZA
ADQUISICIONES FARMACIA                        JEFE  U. ABASTECIMIENTO
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-05-02;2024-05-02;2024-05-02;2024-05-02;2024-05-03;;1;3,27027027027027;37;3348660;CLP;3348660;534660;IVA;0;0;2814000;1058044;61.606.403-7;Fármarcos;7416;SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO;Salud;Servicio Público;Coquimbo;Región de Coquimbo ;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;2.0;2126-83-LQ23;;135193443;41106500.0;Equipamiento para laboratorios / Equipos e insumos para laboratorio / Productos de expresión proteínica;41106503;Inductores o reguladores;Equipamiento para laboratorios;Equipos e insumos para laboratorio;Productos de expresión proteínica;"214-0403    MELATONINA 3MG X 30 COMP. EUROMED. MELATONINA. REG ISP F-11438. VCTO 04-25. LOTE 0400723
";"214-0403    MELATONINA 3MG X 30 COMP. EUROMED. MELATONINA. REG ISP F-11438. VCTO 04-25. LOTE 0400723
";60000;Comprimido;CLP;46,9;0;0;0.0;2814000;30 dias contra la recepcion conforme de la factura
50380927;4462-209-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4462-209-SE24;ADQUISICION DE FARMACOS E INSUMOS CESFAM DAS ORDEN DE COMPRA DESDE 4462-14-L124;ADQUISICION DE FARMACOS E INSUMOS CESFAM DAS  DESDE 4462-14-L124;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-05-02;2024-05-06;2024-05-03;2024-07-11;2024-05-06;;1;4;31;3701204,64;CLP;3701204,64;590948,64;IVA;0;0;3110256;5378;69.160.100-5;Ilustre Municipalidad de Arauco - Salud;7050;I MUNICIPALIDAD DE ARAUCO;Municipalidades;MUNICIPALIDADES|ESTABLECIMIENTOS DE ATENC PRIMARIA;Arauco;Región del Biobío ;CL;23690;80.447.400-5;MUNNICH PHARMA MEDICAL SPA;24141;MUNNICH PHARMA MEDICAL SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VEN;;;Chile;;19;CL;7;2.0;4462-14-L124;;135201422;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;Melatonina 3 mg cm;274564 MELATONINA CAPSULAS 3 MG. CAJA X 30 CAPSULAS - F-21660 - ARAMA - SE ADJUNTA F. TECNICA - DESPACHO EN 1 DIA Y SIN COSTO ADICIONAL - MINIMO FACTUARCION 200.000 NETO  CONTAMOS CON SERVICIO POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCI;6000;Unidad no definida;CLP;35;0;0;0.0;210000;30 dias contra la recepcion conforme de la factura
50381627;1208129-172-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1208129-172-SE24;ARRULLO MEDICAMENTOS MAYO;CORRESPONDE A MEDICAMENTOS EN GENERAL SOLICITADOS EN CREAD ARRULLO PARA FUNCIONAMIENTO MES DE MAYO.  DESPACHAR A CALLE LA VIRGEN N°420 CONCEPCION. ENVIAR XML A CASILLA DIPRESRECEPCION@CUSTODIUM.COM. CDP N°283. DIRECCION FACTURACION CAUPOLICAN N°518, PISO 7, CONCEPCIÓN.;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-05-02;2024-05-03;2024-05-02;2024-05-02;2024-05-09;;1;0;0;1189946,45;CLP;1189946,45;189991,45;IVA;0;0;999955;1208129;62.000.890-7;ADMINISTRACIÓN DIRECTA REGIÓN DEL BIOBÍO;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;Otros;ADMINISTRACIÓN DIRECTA DR BIOBÍO;Concepción;Región del Biobío ;;930190;76.552.307-9;Drogueria Alemana;1523719;Drogueria Alemana;Drogueria;Concepción;Región del Biobío ;;;19;;7;2.0;1208129-6-LE22;;135204007;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG X 30 TABLETAS;MELATONINA 3 MG X 30 TABLETAS;16;Unidad;CLP;3150;0;0;0.0;50400;30 dias contra la recepcion conforme de la factura
50381837;2335-438-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2335-438-SE24;MEDICAMENTOS F.C OP. 275;"MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS PARA FARMACIA COMUNITARIA DEL DEPTO. DE SALUD DE LINARES OP. 275 CONTRATO DE SUMINISTROS D. E. N° 6745 (2337-42-LQ23) 
I.C 215-22 -04 -004-003 (FARMACIA COMUNITARIA)
- DESPACHAR A BODEGA DE CALLE FREIRE N°495 LINARES **OBSERVACIÓN: FACTURAR AL GIRO COMERCIAL  VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES EN COMERCIOS ESPECIALIZADOS**
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-05-02;2024-05-02;2024-05-02;2024-05-02;2024-05-29;;1;0;0;1178100;CLP;1178100;188100;IVA;0;0;990000;3328;69.130.301-2;ADQUISICIONES SALUD;86545;I MUNICIPALIDAD DE LINARES;Municipalidades;;Linares;Región del Maule ;CL;677833;76.070.033-9;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;1279538;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| SERV;Pudahuel;Región Metropolitana de Santiago;Chile;215-22-04-004-003;19;CL;7;2.0;2337-42-LQ23;;135204059;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;"Melatonina 3 mg. Caja x 30 cápsulas. Similar a CIRCALIFE
";"Melatonina 3 mg. Caja x 30 cápsulas. Similar a CIRCALIFE
";1000;Caja;CLP;990;0;0;0.0;990000;30 dias contra la recepcion conforme de la factura
50388284;4357-171-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4357-171-AG24;Orden de Compra generada por invitación a compra ágil: 4357-113-COT24;MEMO N° 54- ADQUISCION DE MEDICAMENTOS PARA BODEGA FARMACIA CESFAM FREIRINA;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2024-05-03;2024-05-07;2024-05-03;2024-05-03;2024-05-07;;1;3,27027027027027;37;274713,88;CLP;274713,88;43861,88;IVA;0;0;230852;5274;69.030.600-k;Salud Municipal;135567;I MUNICIPALIDAD DE FREIRINA;Municipalidades;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTION| MUNICIPALIDADES;Freirina;Región de Atacama ;Extranjero;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COSMETICOS, JABONES Y P| VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS;Rancagua;Región del Libertador General Bernardo O´Higgins;;2152204004;19;Extranjero;7;2.0;;;135224793;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA DE 3  MG COMPRIMIDOS, , INDICAR FECHA DE VENCIMIENTO DE LOS PRODUCTOS. ;MELATONINA DE 3  MG COMPRIMIDOS, , INDICAR FECHA DE VENCIMIENTO DE LOS PRODUCTOS. ;3000;Comprimido;CLP;39;0;0;;117000;30 dias contra la recepcion conforme de la factura
50392213;1979-1481-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1979-1481-SE24;FARMACOS EN CONVENIO DESDE ID 1979-179-LQ23;"SOLICITUD BODEGA FARMACOS 
RESOL. EXENTA DE COMPRAS N°
DESDE ID 1979-179-LQ23
VENCIMIENTO NO MENOR A 12 MESES
*RECEPCION DE PRODUCTOS EN BODEGA
LUNES A VIERNES DESDE LAS 08:00 HASTA LAS 14:00 HRS.
NOTA: EL OFERENTE FRENTE A QUIEBRES DE STOCK O CUALQUIER SITUACIÓN QUE MODIFIQUE EL NORMAL ABASTECIMIENTO DE LOS MEDICAMENTOS ADJUDICADOS, DEBERÁ COMUNICAR POR CORREO ELECTRÓNICO A ENCARGADA DE GENERAR LA ORDEN DE COMPRA CON AL MENOS 15 DÍAS DE ANTICIPACIÓN A ESTE. EL NO CUMPLIMIENTO DE LO SEÑALADO.
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-05-06;2024-05-06;2024-05-06;2024-05-06;2024-05-29;;1;0;0;203490;CLP;203490;32490;IVA;0;0;171000;2974;61.607.401-6;Hospital Nueva Imperial;7060;SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL;Salud;;Nueva Imperial;Región de la Araucanía ;CL;677833;76.070.033-9;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;1279538;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| SERV;Pudahuel;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;1979-179-LQ23;;135236736;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;"MELATONINA 3 MG
";"MELATONINA 3 MG
";3000;Unidad no definida;CLP;57;0;0;0.0;171000;30 dias contra la recepcion conforme de la factura
