ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
50726487;898-2110-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=898-2110-SE24;ORDEN DE COMPRA DESDE 898-90-LE24, Res. Adj. N°1279 FECHA 24.06.24;"Facturar y Despachar a: Hospital Claudio Vicuña, Rut 61.602.126-5 Carmen Guerrero nº 945 San Antonio Bodega Central de Farmacia Lunes a jueves 8:00 a 16:30 hrs Viernes 8:00 a 15:30 hrs   ID Nº 27341248/5778 Vigencia de esta orden de compra es de 20 dias corridos a contar de la emisión. Ped 12.08.24 El proveedor debe emitir la factura electrónica identificando en forma idéntica el ID de la Orden de Compra en el campo de referencia 801 y enviar a casilla dipresrecepcion@custodium.com.
Nos encontramos en un proceso dinámico para el pago oportuno de las compras que realizamos con Uds. para esto solicitados a nuestros proveedores de bienes y servicios, que toda facturación de realice con Orden de Compra y Recepción Conforme, y se requiere que la Factura se genere con Fecha de Recepción Conforme.
Agradeceremos, para cada emisión de Factura Electrónica nos remita una copia electrónica a la casilla: facturas.hcv@redsalud.gov.cl
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-06-25;2024-08-21;2024-06-28;2024-08-21;2024-08-21;;1;3,69354838709677;62;714000;CLP;714000;114000;IVA;0;0;6e+05;1894;61.602.126-5;HOSPITAL CLAUDIO VICUNA;7239;SERVICIO DE SALUD VALPARAISO SAN ANTONIO;Salud;HOSPITALES Y CLINICAS;San Antonio;Región de Valparaíso ;CL;261744;76.830.090-9;Caribean Pharma SpA;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;5778;19;CL;7;48;898-90-LE24;;136245075;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;Eszopiclona comprimido recubierto envasado en blíster 3 mg Vencimiento mayor a 18 meses desde el envio de la orden ;SEV0085 ESZOPICLONA (B) 3 MG X 30 COMP. REC., Eszopiclona 3 mg, F-22496/21, SEVEN PHARMA, 01-11-2025, venc: 01-11-2025, Plazo de entrega de 48 hrs;3000;Comprimido;CLP;102;0.0;0;0.0;306000;
50817439;2777-545-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2777-545-SE24;ORDEN DE COMPRA DESDE 2777-7-LQ24;Contrato de suministro de medicamentos para los Establecimientos de Salud de la comuna de Rengo  DESDE 2777-7-LQ24;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-07-09;2024-08-26;2024-07-10;2024-07-10;2024-08-26;;1;4,40377358490566;53;8232896;CLP;8232896;1314496;IVA;0;0;6918400;3766;69.081.200-2;ADQUISICION MUNI-SALUD;100555;I MUNICIPALIDAD DE RENGO;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA;Rengo;Región del Libertador General Bernardo O´Higgins;CL;106395;77.596.940-7;LABORATORIO CHILE S.A.;103860;LABORATORIO CHILE S A;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Ñuñoa;Región Metropolitana de Santiago;Chile;21522040040010060101;19;CL;7;2;2777-7-LQ24;;136518761;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903;Cajas de medicamentos de servicios médicos de urgencia;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;ESZOPICLONA 3 MG COMP.;120-10-74721 ZOPINOM 3 MG 30 CR REG.ISP F-17137 EQUIVALENTE TERAPÉUTICO Eszopiclona 3 mg 30 Comprimidos Recubiertos , venc: 31-03-2026, Se adjunta documentacion técnica, certificado de farmacovigilancia, politica de canje, devoluciones y norma GMP. Despac;1000;Comprimido;CLP;120;0.0;0;0.0;120000;30 dias contra la recepcion conforme de la factura
50817439;2777-545-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2777-545-SE24;ORDEN DE COMPRA DESDE 2777-7-LQ24;Contrato de suministro de medicamentos para los Establecimientos de Salud de la comuna de Rengo  DESDE 2777-7-LQ24;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-07-09;2024-08-26;2024-07-10;2024-07-10;2024-08-26;;1;4,40377358490566;53;8232896;CLP;8232896;1314496;IVA;0;0;6918400;3766;69.081.200-2;ADQUISICION MUNI-SALUD;100555;I MUNICIPALIDAD DE RENGO;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA;Rengo;Región del Libertador General Bernardo O´Higgins;CL;106395;77.596.940-7;LABORATORIO CHILE S.A.;103860;LABORATORIO CHILE S A;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Ñuñoa;Región Metropolitana de Santiago;Chile;21522040040010060101;19;CL;7;2;2777-7-LQ24;;136518776;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903;Cajas de medicamentos de servicios médicos de urgencia;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;ZOPICLONA 7,5 MG COMP.;120-10-80708 ZOPICLONA 7.5 MG 30 CR REG.ISP F-26342 EQUIVALENTE TERAPEUTICO Zopiclona 7,5 mg 30 Comprimidos Recubiertos, venc: 31-12-2025, Se adjunta documentacion técnica, certificado de farmacovigilancia, politica de canje, devoluciones y norma GMP. Des;20000;Comprimido;CLP;21;0.0;0;0.0;420000;30 dias contra la recepcion conforme de la factura
50913464;1047027-820-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1047027-820-AG24;(JVF) WARFARINA CM 5MG/ZOPICLONA CM 7.5MG. CA: 1047027-573-COT24 AGOSTO;"PLAN DE COMPRAS AGOSTO 2024
ÍTEM 220400400102
______________________
HORARIO ENTREGA BODEGA
LUNES A JUEVES DE 08:00 A 16:30HRS.
VIERNES DE 08:00 A 15:30HRS.";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2024-07-24;2024-08-12;2024-07-24;2024-07-24;2024-08-12;;1;0;0;103244,4;CLP;103244,4;16484,4;IVA;0;0;86760;1047027;61.606.604-8;FARMACIA MEDICAMENTOS;7485;HOSPITAL DE QUILPUE;Salud;MEDICAMENTOS FARMACIA;Quilpué;Región de Valparaíso ;Extranjero;1185307;77.337.544-5;SCM;1773777;SCM PHARMA SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;Providencia;Región Metropolitana de Santiago;;;19;Extranjero;7;2;;;136805789;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;[214B001] ZOPICLONA CM 7.5MG;;600;Comprimido;CLP;42;0.0;0;;25200;30 dias contra la recepcion conforme de la factura
50920582;3210-274-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3210-274-SE24;CHILE25072024;MEDICAMENTOS POR CONVENIO SUMINISTRO 2024 DESDE 3210-28-LP23;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-07-25;2024-08-06;2024-07-25;2024-08-06;2024-08-12;;1;4,40377358490566;53;13734787,22;CLP;13734787,22;2192949,22;IVA;0;0;11541838;4131;69.264.500-6;Departamento Salud;113913;I MUNICIPALIDAD DE SAN RAFAEL;Municipalidades;;* ;Región del Maule ;CL;106395;77.596.940-7;LABORATORIO CHILE S.A.;103860;LABORATORIO CHILE S A;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Ñuñoa;Región Metropolitana de Santiago;Chile;215-22-04-004 - MEDICAMENTOS;19;CL;12;2;3210-28-LP23;;136834978;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"CI_040400200072_ZOPICLONA 7,5MG  COMPRIMIDO
";120-10-80708 ZOPICLONA 7.5 MG 30 CR REG.ISP F-26342 EQUIVALENTE TERAPEUTICO Zopiclona 7,5 mg 30 Comprimidos Recubiertos, venc: 31-12-2025, Se adjunta documentacion tÃ©cnica, certificado de farmacovigilancia, politica de canje, devoluciones y norma GM;44430;Comprimido;CLP;21;0.0;0;0.0;933030;30 dias contra la recepcion conforme de la factura
50924084;1627-1215-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1627-1215-SE24;ORDEN DE COMPRA DESDE 1627-36-LE24;"FÁRMACOS FALTANTES CENABAST ABRIL-MAYO 2024 DESDE 1627-36-LE24, RES. EX. N° 1936 DE FECHA 23/07/2024; CDP N°1390 DE FECHA 18/07/2024.";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2024-07-25;2024-08-02;2024-07-26;2024-07-26;2024-08-02;;1;3,8375;16;5656546;CLP;5656546;903146;IVA;0;0;4753400;2623;61.602.145-1;Hospital de San Fernando Abastecimiento;7448;SERVICIO DE SALUD HOSPITAL DE SAN FERNANDO;Salud;HOSPITALES Y CLINICAS;San Fernando;Región del Libertador General Bernardo O´Higgins;CL;26581;91.637.000-8;LABORATORIOS RECALCINE S.A;26786;LABORATORIOS RECALCINE SA;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Providencia;Región Metropolitana de Santiago;Chile;3855;19;CL;7;2;1627-36-LE24;;136837509;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ESZOPICLONA 3 MG ;"881851 VALNOC 3 MG CAJA X 30 COMPRIMIDOS PRINCIPIO ACTIVO ESZOPICLONA 3MG REGISTRO SANITARIO F-16735 - 23 EQUIVALENTE TERAPEUTICO, venc: 11/02/2026, Plazo de entrega 48 horas hábiles; políticas de canje: cambio de producto 30 días antes y 30 días después ";2010;Comprimido;CLP;92;0.0;0;0.0;184920;30 dias contra la recepcion conforme de la factura
50925251;2069-7623-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2069-7623-AG24;SAR-CP-082024-PROGRAMA AGOSTO FARMACOS-AG;"Orden de Compra generada por invitación a compra ágil: 2069-2831-COT24

PROGRAMA MEDICAMENTOS AGOSTO 2024
1.        Despachar a BODEGA CENTRAL. Obligatorio traer Orden de Compra IMPRESA y en Estado ACEPTADA
2.        HORARIO: ** Lunes a Viernes 8:30 a 13:00 y de 14:30 a 16:00 Hrs. Productos refrigerados se reciben hasta las 13:00.**
3.        Factura y/o Guía debe incluir lote y vencimiento de productos (vencimientos inferiores a 12 meses deben ser validados previo al despacho con comprador respectivo vía mail)
4.        Factura electrónica enviar a: ""dipresrecepcion@custodium.com"" y recepcionfacturaelectronica.cabl@redsalud.gov.cl"" adjuntar OC en estado ""ACEPTADA"" y guía con recepción conforme.
5.        Pago Proveedores: 25763076 - 25762900 - 25763038 - 25763054 - 25763165 ó 25763075
6.        Proveedor debe traer sus propios implementos y herramientas para el transporte y distribución de productos
7.        Traer 1 copia de la factura (bodega)
";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2024-07-26;2024-08-01;2024-08-01;2024-07-26;2024-08-12;;1;0;0;1302823,9;CLP;1302823,9;208013,9;IVA;0;0;1094810;3064;61.608.101-2;HOSPITAL BARROS LUCO TRUDEAU;7293;SERVICIO DE SALUD METROPOLITANO SUR HOSP;Salud;HOSPITALES Y CLINICAS;San Miguel;Región Metropolitana de Santiago;Extranjero;1124621;76.985.933-0;Droguería Aconcagua SpA;1714883;DROGUERÍA ACONCAGUA SPA;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;La Granja;Región Metropolitana de Santiago;;10631;19;Extranjero;7;2;;;136841142;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"2140126	ZOPICLONA 7,5 MG
";(ZONIX) ZOPICLONA 7,5MG COMP CAJA X30 COMP 200 $45 9,000 nov-25;210;Comprimido;CLP;45;0.0;0;;9450;30 dias contra la recepcion conforme de la factura
50931134;3740-121-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3740-121-SE24;ORDEN DE COMPRA DESDE 3740-10-L124;2° COMPRA MEDICAMENTOS CES Y PSR 2024 DESDE 3740-10-L124;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-07-26;2024-08-05;2024-08-05;2024-08-05;2024-08-05;;1;3,69354838709677;62;1696523,5;CLP;1696523,5;270873,5;IVA;0;0;1425650;4660;69.030.700-6;Depto. Salud;116406;I MUNICIPALIDAD DE HUASCO;Municipalidades;GOBIERNO CENTRAL;Huasco;Región de Atacama ;CL;261744;76.830.090-9;Caribean Pharma SpA;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;00001;19;CL;7;2;3740-10-L124;;136858709;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ESZOPICLONA 3 MG COMPRIMIDOS;SEV0085 ESZOPICLONA (B) 3 MG X 30 COMP. REC., Eszopiclona 3 mg, F-22496/21, SEVEN PHARMA, 30-09-2025, venc: 30-09-2025, Plazo de entrega de 48 hrs;4000;Comprimido;CLP;101;0.0;0;0.0;404000;30 dias contra la recepcion conforme de la factura
50936229;1704-3349-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1704-3349-SE24;MEDICAMENTO;"ORDEN DE COMPRA APROBADA POR RESOLUCION EXENTA(E) N°2393 DE FECHA 05/08/2024
COMPRA SEGÚN PEDIDO [420010] BODEGA CENTRAL

ITEM: 22.04.004.001.02
LA FACTURA DEBE SER EMITIDA UNA VEZ OBTENIDA LA RECEPCION CONFORME EN EL PORTAL WWW.MERCADOPUBLICO.CL,
EL PROVEEDOR DEBE FACTURAR SÓLO LO DESPACHADO, EN CASO CONTRARIO SE RECHAZARÁ DICHA RECEPCIÓN. LA
FACTURA DEBE SER ENVIADA A LA CASILLA DE FACTURACIÓN DIPRESRECEPCION@CUSTODIUM.COM.
Despachar producto con guía de despacho o Factura, estos documentos deben contener: Nombre del producto, Número de Lote, Número de Serie, Fecha de vencimiento del Producto y Modelo cuando corresponda
En caso de que al recepcionar el documento no contenga lo anterior, personal de bodegas de inmediato debe informar a la unidad de control de facturas, para que dicho documento sea reclamado y solicitar a ";SE;Emergencia, urgencia o imprevisto;Si;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-07-29;2024-08-06;2024-08-06;2024-08-06;2024-08-06;;1;3,28888888888889;9;13685000;CLP;13685000;2185000;IVA;0;0;11500000;2700;61.606.608-0;Hospital San Martín de Quillota;7345;SERVICIO DE SALUD VINA DEL MAR QUILLOTA;Salud;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;69;Región de Valparaíso ;CL;822399;76.237.266-5;LABORATORIOS ANDROMACO S.A.;1418939;LABORATORIOS ANDROMACO S.A.;FARMACEUTICO;Peñalolén;Región Metropolitana de Santiago;Chile;5251;19;CL;7;2;;;136872655;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"[CodInt:825P009|5.000,0] ESZOPICLONA 3MG COMP. TRISECTADO
";"221000231	ESZOP 3 MG X 30 COMP.
";5000;Comprimido;CLP;230;0.0;0;0.0;1150000;30 dias contra la recepcion conforme de la factura
50944806;3853-767-SE24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3853-767-SE24;COMPRA DE FÁRMACOS PARA LA FARMACIA COMUNITARIA MÓVIL;Compra de Fármacos para la Farmacia Comunitaria Móvil de Río Bueno. Proveniente de Contrato de Suministro N°3853-9-LE24. DESAPACHAR A EJERCITO LIBERTADOR 1500, CESFAM DE RÍO BUENO. ;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2024-07-30;2024-08-02;2024-07-30;2024-08-02;2024-08-05;;1;3,27027027027027;37;265603,24;CLP;265603,24;42407,24;IVA;0;0;223196;4773;69.201.000-0;Depto. Salud;117580;I MUNICIPALIDAD DE RIO BUENO;Municipalidades;MUNICIPALIDADES;Río Bueno;Región de Los Ríos;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;PRESUPUESTO;19;CL;7;2;3853-9-LE24;;136898408;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPICLONA 7,5 MG X 30 CP ;ZOPICLONA 7,5 MG X 30 CP ;40;Caja;CLP;1271;0.0;0;0.0;50840;30 dias contra la recepcion conforme de la factura
